Head,Tail,True_Relation,Model_Output
lawlessness,syndicalist,_derivationally_related_form,No direct relation
change of magnitude,change,_hypernym,is-a
suffice,satisfy,_hypernym,similar-to
trouper,roleplay,_derivationally_related_form,is-a
supervisory program,programme,_hypernym,is-a
tread,stride,_derivationally_related_form,similar-to
first sacker,softball game,_synset_domain_topic_of,part-of
trade name,rimactane,_member_of_domain_usage,is-a
rerun,programme,_hypernym,is-a
morchellaceae,narrowhead morel,_member_meronym,is-a
synchronize,synchrony,_derivationally_related_form,derived-from
judge,judge,_derivationally_related_form,synonym
aegean sea,sea,_instance_hypernym,is-a
walkaway,victory,_hypernym,is-a
positivistic,rationalist,_derivationally_related_form,similar-to
ordinariness,quality,_hypernym,"""is-a"""
welcomer,soul,_hypernym,"There is no direct lexical relation between ""welcomer"" and ""soul"" in WordNet."
charcoal,artistic production,_synset_domain_topic_of,derived-from
prexy,preside,_derivationally_related_form,is-a
travel,locomotor,_derivationally_related_form,similar-to
jalopy,dysphemism,_hypernym,derived-from
order mantophasmatodea,animal order,_hypernym,is-a
cycle,cycle,_derivationally_related_form,similar-to
whit,small indefinite quantity,_hypernym,is-a
transferrer,transplant,_derivationally_related_form,derived-from
spread,spread,_derivationally_related_form,similar-to
rise,uprise,_derivationally_related_form,similar-to
ovulen,pill,_hypernym,is-a
regulation,control,_hypernym,is-a
pretend,shammer,_derivationally_related_form,is-a
packera,asterid dicot genus,_hypernym,is-a
receive,have,_hypernym,is-a
river limpet,univalve,_hypernym,is-a
work,run,_hypernym,is-a
archaist,archaize,_derivationally_related_form,derived-from
mustard family,genus alyssum,_member_meronym,is-a
messiah,saviour,_hypernym,is-a
class aves,psittaciformes,_member_meronym,is-a
scablands,geology,_synset_domain_topic_of,part-of
recess,terminate,_hypernym,antonym
religious cult,religious belief,_hypernym,is-a
relationship,anthropology,_synset_domain_topic_of,part-of
identity,place,_derivationally_related_form,"""part-of"""
slave,soul,_hypernym,"There is no direct lexical relation between ""slave"" and ""soul"" in WordNet. However, if we consider broader semantic connections, one might argue for a conceptual or thematic relation such as ""associated-with"" due to historical and cultural contexts."
hermannia,dilleniid dicot genus,_hypernym,is-a
tear,rupture,_derivationally_related_form,similar-to
haplopappus,asterid dicot genus,_hypernym,is-a
patch,spot,_derivationally_related_form,similar-to
seem,look,_derivationally_related_form,similar-to
active,activity,_derivationally_related_form,derived-from
joyful,joyous,_also_see,similar-to
intussuscept,invagination,_derivationally_related_form,similar-to
gastropoda,pulmonata,_member_meronym,is-a
desire,desire,_derivationally_related_form,synonym
jar,vessel,_hypernym,is-a
south west africa,african nation,_instance_hypernym,is-a
pass,clearance,_derivationally_related_form,is-a
repudiate,renunciation,_derivationally_related_form,derived-from
stage,theatrical production,_derivationally_related_form,part-of
spirit,spirit up,_derivationally_related_form,derived-from
musical theater,play,_hypernym,is-a
vernacular,skinful,_member_of_domain_usage,"There is no direct lexical relation between ""vernacular"" and ""skinful"" in the context of WordNet."
justification,vindication,_hypernym,similar-to
recuperate,turn back,_hypernym,"There is no direct lexical relation between ""recuperate"" and ""turn back"" in WordNet. However, if forced to choose a relation, ""recuperate"" and ""turn back"" could be considered as ""similar-to"" in a"
shoot,waste,_hypernym,derived-from
satirist,humourist,_hypernym,is-a
slight,slight,_derivationally_related_form,similar-to
order coleoptera,family cerambycidae,_member_meronym,is-a
rattus,mammal genus,_hypernym,is-a
filicopsida,schizaeaceae,_member_meronym,is-a
genus fremontodendron,dilleniid dicot genus,_hypernym,is-a
generally accepted accounting principles,collection,_hypernym,part-of
crash,go down,_derivationally_related_form,similar-to
genus brassica,tendergreen,_member_meronym,is-a
chives,herb,_hypernym,is-a
take off,leave,_hypernym,similar-to
canoe,small boat,_hypernym,is-a
conch,univalve,_hypernym,is-a
walk,walk,_derivationally_related_form,synonym
idolization,worship,_derivationally_related_form,similar-to
ionization tube,measuring system,_hypernym,part-of
temporary hookup,connexion,_hypernym,is-a
government revenue,income,_hypernym,derived-from
fell,putting to death,_hypernym,derived-from
consult,interview,_derivationally_related_form,similar-to
family cupressaceae,genus callitris,_member_meronym,is-a
statute mile,linear unit,_hypernym,is-a
teethe,produce,_hypernym,entails
phaeophyta,division,_hypernym,is-a
confinement,restraint,_hypernym,similar-to
malcolm x,civil rights worker,_instance_hypernym,is-a
forebear,root,_hypernym,is-a
ventilate,refresh,_hypernym,similar-to
racism,racist,_derivationally_related_form,derived-from
wither,lessen,_hypernym,similar-to
tacking,change of course,_hypernym,is-a
shuffling,reordering,_hypernym,similar-to
soften,change intensity,_hypernym,is-a
play,dramatize,_derivationally_related_form,derived-from
brynhild,teuton,_synset_domain_topic_of,is-a
prosecution,prosecute,_derivationally_related_form,derived-from
psocoptera,animal order,_hypernym,is-a
monodontidae,genus delphinapterus,_member_meronym,is-a
wall,fencing,_hypernym,similar-to
tone,intonation,_derivationally_related_form,similar-to
family cryptobranchidae,genus cryptobranchus,_member_meronym,is-a
amniotic sac,mammalian,_synset_domain_topic_of,part-of
usa,quadrillion,_member_of_domain_region,No direct relation
olive family,syringa,_member_meronym,is-a
terror,scare,_derivationally_related_form,similar-to
polygonum,silver lace vine,_member_meronym,is-a
assist,supporter,_derivationally_related_form,similar-to
zion,15 may organization,_member_of_domain_region,is-a
potential,possible action,_derivationally_related_form,is-a
measure,measuring stick,_derivationally_related_form,instrument-for
synthetic fiber,fibre,_hypernym,is-a
craps,game of chance,_hypernym,is-a
anoestrus,physiological state,_hypernym,is-a
yacht,yachting,_derivationally_related_form,activity-of
world war ii,tarawa-makin,_has_part,part-of
family didelphidae,mammal family,_hypernym,is-a
ventilation shaft,shaft,_hypernym,part-of
troops,personnel,_hypernym,is-a
quercus,quercus mongolica,_member_meronym,is-a
sensitive,sense,_derivationally_related_form,derived-from
uncertain,undetermined,_also_see,similar-to
order marsupialia,macropodidae,_member_meronym,is-a
capital of gambia,national capital,_instance_hypernym,is-a
train,curb,_derivationally_related_form,"There is no direct lexical relation between ""train"" and ""curb"" in WordNet."
fitter,tailor,_hypernym,is-a
king nut hickory,hickory tree,_hypernym,is-a
haul,trucking,_derivationally_related_form,part-of
write,computing,_synset_domain_topic_of,related-to
uniform,wearable,_hypernym,is-a
class aphasmidia,class,_hypernym,is-a
travesty,take off,_derivationally_related_form,similar-to
affectedness,unnaturalness,_hypernym,similar-to
acapulco de juarez,urban center,_instance_hypernym,is-a
articulatory system,system,_hypernym,part-of
windlass,lifting device,_hypernym,is-a
x ray,skiagraph,_hypernym,is-a
organize,organization,_derivationally_related_form,derived-from
tupelo family,nyssa,_member_meronym,is-a
mahernia verticillata,shrub,_hypernym,is-a
stress,emphasis,_hypernym,similar-to
scent,neaten,_hypernym,"There is no direct lexical relation between ""scent"" and ""neaten"" in the context of WordNet."
thunnus,fish genus,_hypernym,is-a
written document,documentary,_derivationally_related_form,is-a
subscriber,kick in,_derivationally_related_form,No direct relation
incarceration,imprison,_derivationally_related_form,similar-to
maxim,saying,_hypernym,is-a
grant,permit,_verb_group,is-a
servicing,service,_derivationally_related_form,derived-from
vietnam,north vietnam,_has_part,part-of
choking coil,coil,_hypernym,is-a
exist,existence,_derivationally_related_form,derived-from
oesophagogastric junction,juncture,_hypernym,part-of
chordate family,family,_hypernym,is-a
pneumoencephalogram,x ray,_hypernym,derived-from
crown,vest,_hypernym,no direct relation
mutation,modification,_hypernym,similar-to
saturnia,saturnia pavonia,_member_meronym,is-a
trunk,venter,_has_part,part-of
military campaign,operation,_hypernym,part-of
slump,swag,_hypernym,similar-to
break,breakable,_derivationally_related_form,derived-from
waste,use,_hypernym,antonym
crown of thorns,thwart,_derivationally_related_form,No direct lexical relation
ranunculaceae,genus aconitum,_member_meronym,is-a
smyrnium,rosid dicot genus,_hypernym,is-a
decouple,physics,_synset_domain_topic_of,related-to
infiltrate,percolation,_derivationally_related_form,similar-to
subnormality,retard,_derivationally_related_form,similar-to
pant,utter,_hypernym,derived-from
genus balaenoptera,piked whale,_member_meronym,is-a
poaceae,saccharum,_member_meronym,is-a
leg,limb,_hypernym,is-a
polygamy,wedlock,_hypernym,is-a
vendition,vend,_derivationally_related_form,derived-from
potentilla,rosid dicot genus,_hypernym,is-a
nominate,naming,_derivationally_related_form,derived-from
hydrocharitaceae,limnobium,_member_meronym,is-a
resister,resist,_derivationally_related_form,derived-from
phone,electro-acoustic transducer,_hypernym,part-of
knap,scrap,_derivationally_related_form,similar-to
mouth,mouth,_derivationally_related_form,similar-to
smallmouthed black bass,black bass,_hypernym,is-a
marker,mark,_derivationally_related_form,derived-from
case history,story,_hypernym,is-a
umbelliferae,smyrnium,_member_meronym,is-a
relativistic,physics,_synset_domain_topic_of,is-a
hellene,european,_hypernym,is-a
theorize,theorizer,_derivationally_related_form,agent-noun
uxor,wife,_hypernym,synonym
unpleasant,unpleasantness,_derivationally_related_form,derived-from
transmit,communication,_derivationally_related_form,is-a
drifting,wandering,_hypernym,similar-to
split up,separation,_derivationally_related_form,is-a
risk,venture,_derivationally_related_form,is-a
large integer,whole number,_hypernym,is-a
period,epoch,_has_part,is-a
army officer,war machine,_synset_domain_topic_of,part-of
sensitize,sensitizer,_derivationally_related_form,derived-from
resound,racket,_derivationally_related_form,similar-to
adornment,grace,_derivationally_related_form,is-a
drill master,noncommissioned officer,_hypernym,is-a
shell,housing,_hypernym,part-of
logistic support,war machine,_synset_domain_topic_of,part-of
spanish lime,edible fruit,_hypernym,is-a
mess,mess,_derivationally_related_form,is-a
take,hold,_verb_group,similar-to
curve,flex,_hypernym,similar-to
regulator,controller,_hypernym,similar-to
runner,device,_hypernym,is-a
cape horn,promontory,_instance_hypernym,is-a
united kingdom of great britain and northern ireland,rugger,_member_of_domain_region,"""part-of"""
think over,muse,_derivationally_related_form,similar-to
witness,witness,_derivationally_related_form,similar-to
astrophysicist,astrophysics,_derivationally_related_form,practitioner-of
sentiency,sensory,_derivationally_related_form,similar-to
indication,indicate,_derivationally_related_form,derived-from
refer,denote,_verb_group,similar-to
north star state,twin cities,_has_part,part-of
suborder sauria,family amphisbaenidae,_member_meronym,is-a
lead on,dissimulation,_derivationally_related_form,no direct relation
steer,steering,_derivationally_related_form,derived-from
sensitize,sense,_derivationally_related_form,derived-from
drive,operate,_hypernym,similar-to
calyculus,structure,_hypernym,part-of
foremanship,honcho,_derivationally_related_form,similar-to
souse,sousing,_derivationally_related_form,derived-from
electorate,elect,_derivationally_related_form,derived-from
diagram,plot,_derivationally_related_form,similar-to
retrench,husband,_hypernym,similar-to
waterproof,seal off,_hypernym,similar-to
car factory,mill,_hypernym,similar-to
peramelidae,bandicoot,_member_meronym,is-a
speed up,swiftness,_derivationally_related_form,similar-to
schoolhouse,edifice,_hypernym,is-a
dishonour,shame,_derivationally_related_form,similar-to
solmizate,sing,_hypernym,derived-from
agitation,feeling,_hypernym,is-a
hallucinate,perceive,_hypernym,similar-to
halter,hempen necktie,_derivationally_related_form,similar-to
mind,mind,_derivationally_related_form,synonym
euskadi ta askatasuna,terrorist act,_synset_domain_topic_of,is-a
knee joint,hinge joint,_hypernym,is-a
habit,garb,_hypernym,no direct relation
chippewyan,athapaskan language,_hypernym,is-a
kick,hit,_hypernym,similar-to
leathery turtle,sea turtle,_hypernym,is-a
run,run,_verb_group,similar-to
size,magnitude,_hypernym,similar-to
pink family,genus silene,_member_meronym,is-a
antiviral drug,medicine,_hypernym,is-a
plural form,sunglasses,_member_of_domain_usage,is-a
heating system,heat,_derivationally_related_form,derived-from
carry,hold,_hypernym,similar-to
tincture,tincture,_derivationally_related_form,is-a
unwind,relaxation,_derivationally_related_form,"""similar-to"""
graptophyllum,asterid dicot genus,_hypernym,is-a
portrayal,present,_derivationally_related_form,derived-from
percolate,filtrate,_hypernym,derived-from
coalition,ally,_member_meronym,part-of
khaya,rosid dicot genus,_hypernym,is-a
tympanist,tympanum,_derivationally_related_form,part-of
saxegothea,saxe-gothea conspicua,_member_meronym,is-a
independency,freedom,_hypernym,similar-to
sham,shammer,_derivationally_related_form,derived-from
theology,theologizer,_derivationally_related_form,derived-from
personify,prosopopoeia,_derivationally_related_form,is-a
kwangchow,port,_instance_hypernym,part-of
straggle,straggle,_derivationally_related_form,synonym
order apodiformes,hemiprocnidae,_member_meronym,is-a
orchidaceae,genus arethusa,_member_meronym,is-a
maltreater,step,_derivationally_related_form,"There is no direct lexical relation between ""maltreater"" and ""step"" in WordNet."
reflect,reflect,_verb_group,similar-to
snigger,snort,_derivationally_related_form,similar-to
saute,sauteing,_derivationally_related_form,derived-from
apportion,distributor,_derivationally_related_form,agent
xiphosurus polyphemus,arthropod,_hypernym,is-a
libyan islamic group,terrorist act,_synset_domain_topic_of,is-a
egis,plate armour,_hypernym,is-a
par,golf game,_synset_domain_topic_of,part-of
orthoptera,tettigoniidae,_member_meronym,is-a
sea mew,mew,_derivationally_related_form,is-a
voice,tune,_hypernym,part-of
biota,collection,_hypernym,part-of
high beam,shaft of light,_hypernym,similar-to
family carangidae,naucrates,_member_meronym,is-a
gaucho,puncher,_hypernym,similar-to
halophile,archeobacteria,_hypernym,is-a
triplicity,star divination,_synset_domain_topic_of,derived-from
squeeze,squeeze out,_also_see,derived-from
solanaceae,genus brunfelsia,_member_meronym,is-a
centre of mass,midpoint,_hypernym,similar-to
ibn-roshd,physician,_instance_hypernym,is-a
subphylum pentastomida,phylum,_hypernym,part-of
liven up,vitalizer,_derivationally_related_form,similar-to
enfeeble,weaken,_hypernym,similar-to
protology,subject field,_hypernym,is-a
pereskia,caryophylloid dicot genus,_hypernym,is-a
zaglossus,spiny anteater,_member_meronym,is-a
volunteer state,great smoky mountains national park,_has_part,part-of
distributor,supplier,_hypernym,similar-to
burner,setup,_hypernym,part-of
europe,rumania,_has_part,part-of
emblem,allegorize,_derivationally_related_form,derived-from
ask,questioner,_derivationally_related_form,agent-of
double,hit,_hypernym,is-a
surround,edge,_derivationally_related_form,part-of
scurf,exfoliate,_derivationally_related_form,related-to
send,post,_derivationally_related_form,"""similar-to"""
platichthys,fish genus,_hypernym,is-a
implode,implosion,_derivationally_related_form,derived-from
spike,fortification,_derivationally_related_form,part-of
pterodactylidae,reptile family,_hypernym,is-a
uninteresting,unexciting,_also_see,similar-to
autotrophic organism,autotrophic,_derivationally_related_form,is-a
turn up,folder,_derivationally_related_form,"There is no direct lexical relation between ""turn up"" and ""folder"" in the context of WordNet."
raphanus,raphanus sativus,_member_meronym,is-a
united mexican states,juarez,_has_part,"""part-of"""
twitch,move reflexively,_hypernym,is-a
ulvaceae,ulva,_member_meronym,is-a
genus brontosaurus,reptile genus,_hypernym,is-a
united kingdom of great britain and northern ireland,snorter,_member_of_domain_region,"There is no direct lexical relation between ""united kingdom of great britain and northern ireland"" and ""snorter"" in the context of WordNet."
chromatography,natural process,_hypernym,not-related
hiccup,take a breath,_hypernym,part-of
liberalize,liberalize,_verb_group,synonym
copying,repetition,_hypernym,similar-to
exuberance,triumph,_derivationally_related_form,is-a
rectilinear regression,statistical regression,_hypernym,is-a
lubricate,make full,_hypernym,No direct relation
placate,tranquillize,_hypernym,similar-to
snuff it,death,_derivationally_related_form,is-a
reader,order,_hypernym,No direct lexical relation
order isoptera,mastotermitidae,_member_meronym,is-a
realm,sphere,_hypernym,similar-to
walk on air,jubilation,_derivationally_related_form,similar-to
leptopteris,todea superba,_member_meronym,is-a
sadhe,letter of the alphabet,_hypernym,is-a
stabber,stab,_derivationally_related_form,agent-of
field of honor,tract,_hypernym,is-a
tell apart,place,_hypernym,no direct relation
spring,leap,_derivationally_related_form,similar-to
mechanism,performance,_hypernym,"""enables"""
family colubridae,opheodrys,_member_meronym,is-a
pulicaria,asterid dicot genus,_hypernym,is-a
forgive,yield,_hypernym,"There is no direct lexical relation between ""forgive"" and ""yield"" in WordNet."
spice up,spiciness,_derivationally_related_form,derived-from
unsociable,unfriendly,_also_see,similar-to
determination,resolve,_derivationally_related_form,similar-to
shrink,psychopathology,_derivationally_related_form,derived-from
do,play,_verb_group,similar-to
mitella diphylla,mitrewort,_hypernym,is-a
deaminization,deaminize,_derivationally_related_form,derived-from
lighting,kindle,_derivationally_related_form,causes
genus citrullus,watermelon vine,_member_meronym,"""is-a"""
writing,written language,_hypernym,is-a
mesomorph,soul,_hypernym,"There is no direct lexical relation between ""mesomorph"" and ""soul"" in the context of WordNet."
seaplane,plane,_hypernym,is-a
wangler,wangle,_derivationally_related_form,derived-from
weather map,map,_hypernym,is-a
drive,golf game,_synset_domain_topic_of,part-of
poikilotherm,sardina,_derivationally_related_form,is-a
crescendo,volume,_hypernym,related-to
extrapolate,extrapolation,_derivationally_related_form,derived-from
gas shell,war machine,_synset_domain_topic_of,part-of
gratification,pander,_derivationally_related_form,derived-from
lygaeidae,arthropod family,_hypernym,is-a
ny,taconic mountains,_has_part,part-of
judaism,monotheism,_hypernym,is-a
forsake,turncoat,_derivationally_related_form,similar-to
set,registration,_derivationally_related_form,part-of
deliberate,debater,_derivationally_related_form,agent-of
diet,fare,_hypernym,similar-to
remand,detain,_hypernym,similar-to
accent mark,stress,_derivationally_related_form,part-of
order araneida,animal order,_hypernym,is-a
remembrance,remember,_derivationally_related_form,derived-from
womb,placenta,_has_part,part-of
hemp,marijuana,_has_part,derived-from
patrioteer,ultranationalism,_derivationally_related_form,similar-to
garrison,station,_hypernym,is-a
unite,merging,_derivationally_related_form,similar-to
surprise,surprise,_derivationally_related_form,similar-to
genus cyperus,sedge family,_hypernym,is-a
hypoglycemia,symptom,_hypernym,is-a
one thousand million,large integer,_hypernym,is-a
develop,generate,_hypernym,similar-to
unionize,organization,_derivationally_related_form,derived-from
tug,tugboat,_derivationally_related_form,is-a
froth,suds,_derivationally_related_form,similar-to
lindera,spicebush,_member_meronym,is-a
streisand,vocalizer,_instance_hypernym,is-a
exenteration,exenterate,_derivationally_related_form,derived-from
tamarin,marmoset,_hypernym,is-a
ranunculales,winteraceae,_member_meronym,is-a
extraction,take out,_derivationally_related_form,similar-to
secale cereale,cereal grass,_hypernym,is-a
repentant,penitent,_derivationally_related_form,similar-to
family apocynaceae,nerium,_member_meronym,is-a
throughput,information processing system,_synset_domain_topic_of,part-of
tabulate,tabulation,_derivationally_related_form,derived-from
genus astronium,magnoliopsid genus,_hypernym,is-a
islamic great eastern raiders-front,terrorist organization,_instance_hypernym,is-a
dress,treat,_hypernym,No direct standard lexical relation
nitrate,nitrify,_derivationally_related_form,derived-from
genus cyclopes,mammal genus,_hypernym,is-a
vaunt,self-praise,_derivationally_related_form,synonym
enumerator,official,_hypernym,is-a
podocarpus family,genus afrocarpus,_member_meronym,is-a
squirt,wet,_hypernym,causes
mid-atlantic states,nj,_has_part,part-of
flock,bird,_member_meronym,member-of
process,proceed,_derivationally_related_form,derived-from
stave,stave,_derivationally_related_form,similar-to
mutate,change,_hypernym,is-a
rhamnaceae,pomaderris,_member_meronym,is-a
appropriation,money,_hypernym,part-of
weight down,burthen,_derivationally_related_form,similar-to
racket,enterprise,_hypernym,is-a
limitation,law,_synset_domain_topic_of,is-a
mephitis macroura,wood pussy,_hypernym,is-a
thoughtful,considerate,_also_see,similar-to
lining,face,_derivationally_related_form,part-of
moneyer,money,_derivationally_related_form,derived-from
suborder serpentes,hydrophidae,_member_meronym,is-a
search,activity,_hypernym,is-a
united kingdom of great britain and northern ireland,returning officer,_member_of_domain_region,part-of
mimicry,personation,_hypernym,similar-to
greengrocery,grocery,_hypernym,is-a
tightness,spatial arrangement,_hypernym,part-of
conduct,music,_synset_domain_topic_of,is-a
address,reference,_derivationally_related_form,derived-from
egyptian,hamito-semitic,_hypernym,is-a
omission,neglect,_hypernym,similar-to
sauce,sauce,_derivationally_related_form,synonym
legislature,assembly,_hypernym,is-a
cannon,gun,_hypernym,is-a
little girl,maidhood,_derivationally_related_form,is-a
chromatic,vividness,_derivationally_related_form,similar-to
family capparidaceae,dilleniid dicot family,_hypernym,is-a
ouster,soul,_hypernym,"There is no direct lexical relation between ""ouster"" and ""soul"" in the context of WordNet."
perodicticus,mammal genus,_hypernym,is-a
fisherman's lure,angling,_synset_domain_topic_of,used-for
clarify,modify,_hypernym,similar-to
salient,war machine,_synset_domain_topic_of,No direct lexical relation
taiwan,island,_instance_hypernym,is-a
inertia,trait,_hypernym,is-a
lupinus,wild lupine,_member_meronym,is-a
physeter,sperm whale,_member_meronym,is-a
tinkle,tinkle,_derivationally_related_form,synonym
swing,travel,_hypernym,is-a
jib,fore-and-aft sail,_hypernym,part-of
shame,shame,_derivationally_related_form,synonym
volatilize,modify,_hypernym,derived-from
see,sightedness,_derivationally_related_form,derived-from
coalition,organization,_hypernym,is-a
worker,act,_derivationally_related_form,related-to
nasalization,nasalize,_derivationally_related_form,derived-from
sunda islands,archipelago,_instance_hypernym,part-of
seniority,senior,_derivationally_related_form,derived-from
order acarina,sarcoptidae,_member_meronym,is-a
marble,marbleize,_derivationally_related_form,derived-from
lobbyist,third house,_derivationally_related_form,is-a
prunus laurocerasus,shrub,_hypernym,is-a
contact action,chemical process,_hypernym,No direct lexical relation
scincidae,reptile family,_hypernym,is-a
study,subject field,_derivationally_related_form,is-a
placement,site,_derivationally_related_form,"""similar-to"""
pilot,pilot,_derivationally_related_form,similar-to
thread,physical object,_hypernym,is-a
thripidae,arthropod family,_hypernym,is-a
rose family,genus amelanchier,_member_meronym,is-a
ornithologist,ornithology,_derivationally_related_form,practices
excruciation,torturing,_hypernym,similar-to
check,stop,_hypernym,antonym
package,packaging,_derivationally_related_form,derived-from
smash,hit,_hypernym,is-a
supercilium,hair,_hypernym,part-of
digital computer,information processing system,_hypernym,is-a
particle detector,chamber,_hypernym,part-of
sanctuary,choir,_has_part,part-of
operate,simulated military operation,_derivationally_related_form,part-of
drag,tangle,_also_see,similar-to
neurological disorder,upset,_hypernym,is-a
knock on,play,_hypernym,no direct relation
panax schinseng,ginseng,_has_part,is-a
expatriate,throw out,_hypernym,derived-from
summary judgment,law,_synset_domain_topic_of,is-a
flotation,physical phenomenon,_hypernym,is-a
unsafe,unsafe,_also_see,similar-to
efficacious,set up,_derivationally_related_form,"There is no direct lexical relation between ""efficacious"" and ""set up"" in the context of WordNet."
racist,racism,_derivationally_related_form,is-a
filibuster,holdup,_hypernym,similar-to
misconception,thought,_hypernym,is-a
hold,lend oneself,_verb_group,similar-to
centaury,suffrutex,_hypernym,is-a
chronology,chronologize,_derivationally_related_form,derived-from
family dryopteridaceae,polybotrya,_member_meronym,is-a
analyst,study,_derivationally_related_form,"""performs"""
sublet,rental,_hypernym,is-a
chip,mar,_hypernym,part-of
vanish,terminate,_hypernym,similar-to
miscount,tally,_hypernym,similar-to
franciscan,st. francis of assisi,_derivationally_related_form,follower-of
sour,vinegar,_derivationally_related_form,"""has-property"""
phaeophyta,phaeophyceae,_member_meronym,is-a
pelew,tt,_has_part,is-a
duplicate,multiply,_hypernym,similar-to
stratum,relegate,_derivationally_related_form,No direct lexical relation
oil,liniment,_derivationally_related_form,derived-from
lily family,genus calochortus,_member_meronym,is-a
conventionalize,conventionalization,_derivationally_related_form,derived-from
tell apart,difference,_derivationally_related_form,is-a
tampa bay,embayment,_instance_hypernym,is-a
yellow nutgrass,sedge,_hypernym,is-a
lathyrus,sea pea,_member_meronym,is-a
united kingdom of great britain and northern ireland,hair slide,_member_of_domain_region,unrelated
family cyprinidae,genus abramis,_member_meronym,is-a
united kingdom of great britain and northern ireland,smallholding,_member_of_domain_region,No direct relation
thinning,dilution,_hypernym,similar-to
edible fruit,fruit,_hypernym,is-a
develop,ontogeny,_derivationally_related_form,part-of
questioning,question,_derivationally_related_form,derived-from
tenderize,tenderization,_derivationally_related_form,derived-from
surprise,surprise,_derivationally_related_form,synonym
shiite muslim,muslim,_hypernym,is-a
tail,process,_hypernym,"There is no direct lexical relation between ""tail"" and ""process"" in the context of WordNet."
repression,psychopathology,_synset_domain_topic_of,is-a
list,tilt,_derivationally_related_form,"There is no direct lexical relation between ""list"" and ""tilt"" in the context of WordNet."
exhaustion,weakening,_hypernym,similar-to
nuptse,mountain peak,_instance_hypernym,similar-to
grind,pulverization,_derivationally_related_form,is-a
chariot,genus ancylus,_derivationally_related_form,"There is no direct lexical relation between ""chariot"" and ""genus ancylus"" in the context of WordNet."
scuttle,entryway,_hypernym,part-of
relationship,kinsperson,_derivationally_related_form,is-a
viperidae,viper,_member_meronym,is-a
smooch,smack,_derivationally_related_form,similar-to
egyptian pea,garbanzo,_has_part,synonym
hystricidae,mammal family,_hypernym,is-a
palaemon,prawn,_member_meronym,is-a
belgian shepherd,shepherd dog,_hypernym,is-a
masculinize,modify,_hypernym,derived-from
range of a function,run,_derivationally_related_form,No direct lexical relation
wear out,come off,_also_see,similar-to
reciprocating engine,internal-combustion engine,_hypernym,is-a
unguent,therapeutic,_hypernym,is-a
merchant bank,get,_derivationally_related_form,No direct lexical relation
cricket,innings,_has_part,part-of
show-off,swellhead,_hypernym,similar-to
potamophis,potamophis striatula,_member_meronym,is-a
anticipator,previse,_derivationally_related_form,similar-to
trifurcate,separate,_hypernym,similar-to
peruvian balsam,tree,_hypernym,derived-from
recline,set,_hypernym,derived-from
formulate,evolve,_verb_group,derived-from
mould,moulding,_derivationally_related_form,derived-from
onanist,wank,_derivationally_related_form,similar-to
transplanting,transplant,_derivationally_related_form,derived-from
genus calamus,monocot genus,_hypernym,is-a
lagenaria siceraria,gourd vine,_hypernym,is-a
investigate,questioner,_derivationally_related_form,agent-of
years,time of life,_hypernym,is-a
atomistical,atomistic theory,_derivationally_related_form,derived-from
variable,vary,_derivationally_related_form,derived-from
solo,aviation,_synset_domain_topic_of,is-a
term,statement,_hypernym,is-a
transmute,transmutation,_derivationally_related_form,derived-from
space,location,_has_part,is-a
grandchild,progeny,_hypernym,hyponym
run,runner,_derivationally_related_form,agent-of
send off,shipment,_derivationally_related_form,part-of
wheedle,wheedling,_derivationally_related_form,derived-from
earthly,mortal,_also_see,similar-to
strategist,strategy,_derivationally_related_form,derived-from
reach out,be,_hypernym,is-a
level,tear down,_derivationally_related_form,No direct lexical relation
united kingdom of great britain and northern ireland,kerb crawler,_member_of_domain_region,"There is no direct lexical relation between ""united kingdom of great britain and northern ireland"" and ""kerb crawler"" in the context of WordNet."
backhoe,shovel,_hypernym,is-a
contract,modify,_hypernym,entails
trudge,plodding,_derivationally_related_form,similar-to
united kingdom of great britain and northern ireland,wheeze,_member_of_domain_region,"There is no direct lexical relation between ""united kingdom of great britain and northern ireland"" and ""wheeze"" in the context of WordNet."
ratchet down,ratchet,_derivationally_related_form,derived-from
plagianthus,dilleniid dicot genus,_hypernym,is-a
serve,work,_hypernym,similar-to
unfitness,unfit,_derivationally_related_form,derived-from
poison,toxicant,_derivationally_related_form,is-a
vox,vocalizer,_derivationally_related_form,is-a
stag,wapiti,_hypernym,is-a
indicate,inform,_hypernym,similar-to
stretch,extension,_derivationally_related_form,similar-to
convert,convert,_verb_group,similar-to
genus canavalia,rosid dicot genus,_hypernym,is-a
lily family,genus aspidistra,_member_meronym,is-a
thicken,change integrity,_hypernym,is-a
compartmentalization,cut up,_derivationally_related_form,similar-to
pig,have,_hypernym,"There is no direct lexical relation between ""pig"" and ""have"" in the context of WordNet."
spit up,release,_hypernym,similar-to
hydrangeaceae,schizophragma,_member_meronym,is-a
magnoliaceae,illicium,_member_meronym,is-a
mower,mow,_derivationally_related_form,derived-from
valet de chambre,body servant,_hypernym,is-a
crier,cry,_derivationally_related_form,derived-from
genus anthriscus,rosid dicot genus,_hypernym,is-a
draw,artistic production,_synset_domain_topic_of,is-a
family compositae,genus balsamorhiza,_member_meronym,is-a
thylacinus,thylacinus cynocephalus,_member_meronym,is-a
trailer,lag,_derivationally_related_form,similar-to
asia,state of bahrain,_has_part,part-of
dismay,horrify,_derivationally_related_form,similar-to
arthropodous,arthropod,_derivationally_related_form,is-a
